VehicleID,Scheme,TxBytes,RxBytes,TotalBytes
46,BASELINE_COOP_SWAP,512,400,912
46,GLBSS,700,700,1400
47,BASELINE_CRYPTO_ONLY,256,256,512
47,BABAGHAYOU_SAFETY_AWARE,400,350,750
47,OBFUSCATION,550,400,950
44,PROPOSED,700,300,1000
47,MDEE_COOP_SWAP,512,512,1024
47,RFPM,600,600,1200
47,BASELINE_COOP_SWAP,512,400,912
47,GLBSS,700,700,1400
48,BASELINE_CRYPTO_ONLY,256,256,512
48,BABAGHAYOU_SAFETY_AWARE,400,350,750
48,OBFUSCATION,550,400,950
48,MDEE_COOP_SWAP,512,512,1024
48,RFPM,600,600,1200
48,BASELINE_COOP_SWAP,512,400,912
39,PROPOSED,700,300,1000
48,GLBSS,700,700,1400
49,BASELINE_CRYPTO_ONLY,256,256,512
41,PROPOSED,700,300,1000
42,PROPOSED,700,300,1000
49,BABAGHAYOU_SAFETY_AWARE,400,350,750
49,OBFUSCATION,550,400,950
49,MDEE_COOP_SWAP,512,512,1024
49,RFPM,600,600,1200
49,BASELINE_COOP_SWAP,512,400,912
40,PROPOSED,700,300,1000
49,GLBSS,700,700,1400
43,PROPOSED,700,300,1000
46,PROPOSED,700,300,1000
47,PROPOSED,700,300,1000
48,PROPOSED,700,300,1000
45,PROPOSED,700,300,1000
49,PROPOSED,700,300,1000
